id,X4,X11,X18,X50,X26,X3112
201238668,0.6330733,11.787197,3.65347,1.546159,14.220499,349.70972
202310319,0.40351343,19.306213,0.34249565,1.3884451,3.1168928,809.23096
202604412,0.57475704,12.597309,2.680269,1.8265325,40.698326,943.23694
201353439,0.46179995,21.491095,0.78463393,1.2704113,3.667529,1560.6403
195351745,0.48362407,10.665161,0.18606946,1.5954859,-0.42706585,132.11375
195450369,0.41747633,13.830304,0.37969157,1.5806009,4.483403,439.71033
196502338,0.42147517,18.334852,-0.067154445,1.4824663,0.6520815,523.4707
193570629,0.4292556,13.991819,0.2835016,1.5229256,2.5090723,321.89465
202963682,0.48162723,15.723446,1.5715619,1.7002465,17.170187,1391.2538
187448653,0.56751835,16.048872,6.250021,1.553375,68.40493,3101.1257
199165205,0.6542238,9.35647,9.887455,2.1392817,65.1835,1910.5897
202781285,0.6324655,9.467347,8.197063,1.8841016,94.22244,2339.2273
197744053,0.5457039,13.846938,9.494688,1.4675575,113.31716,3488.1133
196321036,0.44360408,20.252203,-0.14856032,1.2914056,1.1900072,871.49896
202615809,0.48241538,16.75348,0.59594434,1.6603118,7.1057634,1137.6443
202773859,0.50568455,17.344185,1.7225491,1.3290305,17.042229,978.79224
200027601,0.56474787,11.866633,3.889699,1.8212168,57.155857,1227.9321
196461564,0.49059933,14.660123,0.5037386,1.5791984,5.3010607,670.43115
197522503,0.6198818,12.071386,6.068616,1.8868421,86.38516,2203.5315
197923137,0.45272675,16.141825,0.83424085,1.6858413,11.437183,956.07983
202669041,0.43473396,20.134783,0.20996639,1.3438365,1.6194658,806.8783
148860951,0.5637112,16.874525,4.831553,1.5640969,61.485703,4641.3247
193491962,0.6405436,6.9532404,2.409449,1.9066644,14.730515,514.5249
196337417,0.54424924,15.712711,4.11718,1.2390262,42.77051,2125.2026
201709046,0.4079438,18.916399,0.23892447,1.3664737,2.9796152,806.145
202676795,0.42261055,21.194963,0.5291864,1.361432,5.77197,1089.6224
202745496,0.42587146,18.75163,0.38391253,1.4318371,3.3753424,707.00653
201938880,0.45166022,14.5574255,0.8086522,1.7472198,11.611067,1367.0409
200426127,0.43717137,18.05753,0.050494876,1.529448,3.5876188,479.95618
202485442,0.48069733,13.828289,1.5148883,1.6525232,11.901664,1204.2972
202061533,0.52666783,16.557579,7.60714,1.3102281,58.492847,2520.2332
202914259,0.5224603,18.963882,2.4389143,1.3660394,18.968925,2153.603
198592331,0.5407357,13.41596,1.2587217,1.9982754,16.853031,1041.3297
199600168,0.4375036,17.848625,0.47436616,1.4450561,3.1358404,630.5072
201903388,0.54749024,16.6939,1.7238587,1.4875293,21.751904,1258.2638
195351744,0.50261456,7.7497463,1.2355082,1.881263,6.685752,426.11182
202640982,0.5253942,17.300766,4.2732797,1.498838,30.419758,4948.773
203008063,0.41287613,18.407715,0.2124531,1.4003694,5.378392,1049.7872
203041402,0.46855667,17.727116,0.5637416,1.6121097,5.040414,1616.3141
202976372,0.41868523,21.59077,0.055714812,1.2452265,0.8295584,806.64124
202781899,0.401139,18.989101,0.24679825,1.5561831,6.7857103,1679.2494
202935539,0.57678634,11.81394,6.2617645,1.8730748,76.46304,2017.2797
27915559,0.5444407,16.58902,10.143116,1.4122859,51.06914,3580.5544
195987018,0.64154065,11.21648,10.11288,1.7378412,80.01232,2988.73
195855230,0.651532,12.199172,9.452222,1.793145,160.84618,3410.4702
188367237,0.4344573,18.912083,0.21451613,1.3572314,1.621356,402.62585
201671774,0.5082297,20.428091,1.2681586,1.2796578,5.8380136,1087.3888
202828584,0.54939616,15.259773,3.585207,1.4405118,61.821754,2220.533
202814621,0.5909431,13.792981,8.396843,1.4411021,57.68066,2100.2905
202141635,0.6947758,8.062119,5.3880367,2.0785663,14.695269,1074.1206
202982651,0.43344218,22.199982,0.5468177,1.2482113,2.3365393,1249.8495
198359908,0.44571483,13.725081,2.3269947,1.7196082,4.392379,1054.2644
202870363,0.42593944,18.635548,0.50517577,1.3684864,5.659295,671.2637
196054068,0.44847387,17.496124,0.649023,1.5153999,4.3958426,600.0075
202199298,0.50339234,15.893812,7.9541426,1.5403057,57.563904,4377.952
201244250,0.49174726,13.699893,0.5472428,1.5713894,1.5228643,429.4928
202954972,0.45807433,18.993164,0.48446128,1.4403934,4.1582747,974.8363
203021317,0.44812068,16.035975,1.5485086,1.6605538,19.978498,2296.5576
169282459,0.59261066,14.370297,10.538026,1.5696739,140.33174,5133.0874
159429220,0.5366022,16.687151,4.9125338,1.3706661,33.758907,3894.1963
199348370,0.4571508,17.042255,0.5275628,1.464389,1.8792105,544.40173
200407722,0.5306298,17.95624,2.8643353,1.3383806,22.593538,1937.4814
201408099,0.64996856,8.225486,6.3793535,2.0290513,64.96116,1693.6903
196295650,0.49451295,16.9758,4.184476,1.5617805,22.080511,1379.0771
187753922,0.4977818,18.83955,1.2784398,1.5579281,11.634186,1840.5371
202373760,0.54802704,15.888408,10.968433,1.4601005,98.12019,4327.2856
196817501,0.72169596,8.196507,3.486488,2.0101395,6.0057497,202.56468
25552018,0.4787642,17.729214,0.54632324,1.2461604,-0.6804533,661.69867
201535434,0.45470846,13.869239,1.5113918,1.6036695,-0.55528355,815.48566
195153043,0.7769418,2.8775463,12.52435,2.195664,41.06755,1450.7748
194213795,0.6244983,8.894841,1.8080009,1.9252431,10.482306,440.41907
139869301,0.4851168,16.307037,1.8865558,1.2028779,6.494363,1361.5579
201656588,0.44727668,13.540703,0.66720897,1.4081736,2.900895,616.21857
198859795,0.54444075,16.728077,4.83262,1.5120376,46.232372,4432.749
201931645,0.58006763,14.293433,8.938347,1.7110883,98.67282,3454.7742
188947713,0.5621128,15.446314,5.412955,1.62276,49.02445,4031.6802
202779464,0.5864336,15.31435,4.486115,1.3228474,21.661816,1225.7201
202081046,0.4276312,15.141022,0.28547093,1.6778033,-0.22618961,658.0078
202695446,0.4691605,18.19686,0.21530816,1.4283065,1.1490755,358.05884
200753497,0.6128119,12.673963,9.599598,1.8469578,128.669,3706.7778
201177075,0.46313757,18.568306,0.089879,1.439129,2.4342718,454.74988
202537112,0.4482257,23.830627,1.0171535,1.1700162,10.194813,2283.6912
